n,sol_iteration,total_iterations,order_of_genes,fitness_val,execution_time,sol_chrom_json
5,88,120,"(3, 2, 1, 4, 0)",6473.75,0.0013,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [31, 19, 22, 36, 43], ""C"": [[-1.0, 14.5, 16.0, 16.0, 12.0], [14.5, -1.0, 9.5, 12.5, 11.0], [16.0, 9.5, -1.0, 9.0, 9.0], [16.0, 12.5, 9.0, -1.0, 8.5], [12.0, 11.0, 9.0, 8.5, -1.0]]}"
5,64,120,"(2, 3, 1, 4, 0)",5861.0,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [27, 10, 46, 16, 44], ""C"": [[-1.0, 7.5, 19.0, 13.5, 11.0], [7.5, -1.0, 15.0, 9.0, 11.5], [19.0, 15.0, -1.0, 13.0, 14.5], [13.5, 9.0, 13.0, -1.0, 10.0], [11.0, 11.5, 14.5, 10.0, -1.0]]}"
5,17,120,"(0, 3, 4, 1, 2)",5422.0,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [33, 29, 11, 18, 24], ""C"": [[-1.0, 13.0, 16.5, 18.5, 11.5], [13.0, -1.0, 9.5, 8.5, 12.5], [16.5, 9.5, -1.0, 19.0, 13.0], [18.5, 8.5, 19.0, -1.0, 16.5], [11.5, 12.5, 13.0, 16.5, -1.0]]}"
5,32,120,"(1, 2, 0, 4, 3)",6083.5,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [12, 41, 14, 32, 43], ""C"": [[-1.0, 8.0, 12.0, 13.5, 19.0], [8.0, -1.0, 16.0, 13.0, 12.0], [12.0, 16.0, -1.0, 14.5, 5.5], [13.5, 13.0, 14.5, -1.0, 13.5], [19.0, 12.0, 5.5, 13.5, -1.0]]}"
5,23,120,"(0, 4, 3, 1, 2)",9553.25,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [45, 49, 29, 37, 30], ""C"": [[-1.0, 17.5, 12.5, 14.0, 10.5], [17.5, -1.0, 14.0, 18.5, 15.5], [12.5, 14.0, -1.0, 15.5, 10.5], [14.0, 18.5, 15.5, -1.0, 11.0], [10.5, 15.5, 10.5, 11.0, -1.0]]}"
5,80,120,"(3, 1, 0, 4, 2)",3822.0,0.0012,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [5, 20, 7, 47, 21], ""C"": [[-1.0, 11.0, 15.0, 8.0, 12.0], [11.0, -1.0, 14.0, 17.5, 9.5], [15.0, 14.0, -1.0, 8.5, 17.5], [8.0, 17.5, 8.5, -1.0, 17.0], [12.0, 9.5, 17.5, 17.0, -1.0]]}"
5,25,120,"(1, 0, 2, 3, 4)",3845.75,0.0015,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [37, 40, 9, 6, 12], ""C"": [[-1.0, 8.5, 10.0, 11.0, 12.0], [8.5, -1.0, 14.5, 19.5, 17.5], [10.0, 14.5, -1.0, 11.0, 14.5], [11.0, 19.5, 11.0, -1.0, 12.5], [12.0, 17.5, 14.5, 12.5, -1.0]]}"
5,21,120,"(0, 4, 2, 1, 3)",4428.75,0.0013,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [38, 7, 32, 23, 21], ""C"": [[-1.0, 7.5, 10.0, 10.5, 14.5], [7.5, -1.0, 12.5, 8.5, 9.0], [10.0, 12.5, -1.0, 9.5, 11.0], [10.5, 8.5, 9.5, -1.0, 13.0], [14.5, 9.0, 11.0, 13.0, -1.0]]}"
5,8,120,"(0, 2, 1, 4, 3)",3155.0,0.0018,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [28, 10, 12, 16, 30], ""C"": [[-1.0, 11.0, 15.0, 11.5, 6.0], [11.0, -1.0, 12.0, 10.0, 9.0], [15.0, 12.0, -1.0, 13.5, 9.5], [11.5, 10.0, 13.5, -1.0, 10.5], [6.0, 9.0, 9.5, 10.5, -1.0]]}"
5,70,120,"(2, 4, 1, 3, 0)",3470.5,0.0017,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [15, 9, 39, 23, 13], ""C"": [[-1.0, 11.0, 13.5, 18.0, 13.5], [11.0, -1.0, 6.0, 13.5, 7.0], [13.5, 6.0, -1.0, 6.0, 5.5], [18.0, 13.5, 6.0, -1.0, 13.0], [13.5, 7.0, 5.5, 13.0, -1.0]]}"
